"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Aitkin County, MN"	"27001"	"2013"	"2013"	"45-54 years"	"45-54"	10	2173	460.19 (Unreliable)
	"Aitkin County, MN"	"27001"	"2013"	"2013"	"55-64 years"	"55-64"	16	2818	567.78 (Unreliable)
	"Aitkin County, MN"	"27001"	"2013"	"2013"	"65-74 years"	"65-74"	44	2752	1598.84
	"Aitkin County, MN"	"27001"	"2013"	"2013"	"75-84 years"	"75-84"	51	1378	3701.02
	"Aitkin County, MN"	"27001"	"2013"	"2013"	"85+ years"	"85+"	68	510	13333.33
	"Aitkin County, MN"	"27001"	"2013"	"2013"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"2014"	"2014"	"< 1 year"	"1"	Suppressed	95	Suppressed
	"Aitkin County, MN"	"27001"	"2014"	"2014"	"1-4 years"	"1-4"	Suppressed	530	Suppressed
	"Aitkin County, MN"	"27001"	"2014"	"2014"	"5-9 years"	"5-9"	Suppressed	791	Suppressed
	"Aitkin County, MN"	"27001"	"2014"	"2014"	"10-14 years"	"10-14"	Suppressed	783	Suppressed
	"Aitkin County, MN"	"27001"	"2014"	"2014"	"15-19 years"	"15-19"	Suppressed	768	Suppressed
	"Aitkin County, MN"	"27001"	"2014"	"2014"	"20-24 years"	"20-24"	Suppressed	600	Suppressed
	"Aitkin County, MN"	"27001"	"2014"	"2014"	"25-34 years"	"25-34"	Suppressed	1174	Suppressed
	"Aitkin County, MN"	"27001"	"2014"	"2014"	"35-44 years"	"35-44"	Suppressed	1325	Suppressed
	"Aitkin County, MN"	"27001"	"2014"	"2014"	"45-54 years"	"45-54"	Suppressed	2051	Suppressed
	"Aitkin County, MN"	"27001"	"2014"	"2014"	"55-64 years"	"55-64"	23	2833	811.86
	"Aitkin County, MN"	"27001"	"2014"	"2014"	"65-74 years"	"65-74"	48	2844	1687.76
	"Aitkin County, MN"	"27001"	"2014"	"2014"	"75-84 years"	"75-84"	76	1393	5455.85
	"Aitkin County, MN"	"27001"	"2014"	"2014"	"85+ years"	"85+"	63	502	12549.80
	"Aitkin County, MN"	"27001"	"2014"	"2014"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"2015"	"2015"	"< 1 year"	"1"	Suppressed	110	Suppressed
	"Aitkin County, MN"	"27001"	"2015"	"2015"	"1-4 years"	"1-4"	Suppressed	506	Suppressed
	"Aitkin County, MN"	"27001"	"2015"	"2015"	"5-9 years"	"5-9"	Suppressed	778	Suppressed
	"Aitkin County, MN"	"27001"	"2015"	"2015"	"10-14 years"	"10-14"	Suppressed	823	Suppressed
	"Aitkin County, MN"	"27001"	"2015"	"2015"	"15-19 years"	"15-19"	Suppressed	739	Suppressed
	"Aitkin County, MN"	"27001"	"2015"	"2015"	"20-24 years"	"20-24"	Suppressed	634	Suppressed
	"Aitkin County, MN"	"27001"	"2015"	"2015"	"25-34 years"	"25-34"	Suppressed	1203	Suppressed
	"Aitkin County, MN"	"27001"	"2015"	"2015"	"35-44 years"	"35-44"	Suppressed	1285	Suppressed
	"Aitkin County, MN"	"27001"	"2015"	"2015"	"45-54 years"	"45-54"	Suppressed	1983	Suppressed
	"Aitkin County, MN"	"27001"	"2015"	"2015"	"55-64 years"	"55-64"	16	2826	566.17 (Unreliable)
	"Aitkin County, MN"	"27001"	"2015"	"2015"	"65-74 years"	"65-74"	36	2839	1268.05
	"Aitkin County, MN"	"27001"	"2015"	"2015"	"75-84 years"	"75-84"	58	1425	4070.18
	"Aitkin County, MN"	"27001"	"2015"	"2015"	"85+ years"	"85+"	75	518	14478.76
	"Aitkin County, MN"	"27001"	"2015"	"2015"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"2016"	"2016"	"< 1 year"	"1"	Suppressed	106	Suppressed
	"Aitkin County, MN"	"27001"	"2016"	"2016"	"1-4 years"	"1-4"	Suppressed	484	Suppressed
	"Aitkin County, MN"	"27001"	"2016"	"2016"	"5-9 years"	"5-9"	Suppressed	766	Suppressed
	"Aitkin County, MN"	"27001"	"2016"	"2016"	"10-14 years"	"10-14"	Suppressed	819	Suppressed
	"Aitkin County, MN"	"27001"	"2016"	"2016"	"15-19 years"	"15-19"	Suppressed	707	Suppressed
	"Aitkin County, MN"	"27001"	"2016"	"2016"	"20-24 years"	"20-24"	Suppressed	587	Suppressed
	"Aitkin County, MN"	"27001"	"2016"	"2016"	"25-34 years"	"25-34"	Suppressed	1243	Suppressed
	"Aitkin County, MN"	"27001"	"2016"	"2016"	"35-44 years"	"35-44"	Suppressed	1291	Suppressed
